,0
1035,False
1156,False
3156,False
4499,False
5412,True
5907,False
7616,False
8002,False
9042,False
10153,False
12090,False
13365,False
13599,False
15474,True
16835,False
17660,False
18050,False
19701,False
20758,False
21450,True
23217,False
24590,False
25325,False
26978,False
27399,False
29111,False
29562,False
30477,False
31870,False
32923,False
34849,False
35304,False
36107,False
38230,False
39197,False
39772,False
41579,False
42657,False
43877,False
44930,False
46031,True
46352,False
48149,False
49578,False
50364,False
51875,True
52790,True
53325,False
54742,False
56029,False
56426,False
58067,False
59243,False
60706,False
61499,True
62374,False
63288,False
65267,True
65530,True
67633,False
68363,False
69765,True
70868,False
72041,False
73278,False
73554,True
75293,True
75805,False
77659,False
78551,False
79186,False
80109,True
81416,False
82515,False
84361,False
85283,True
86205,False
87477,False
88187,False
89380,False
90992,False
92265,False
93559,False
94248,False
94986,True
96801,True
97237,True
98386,False
100130,False
100955,False
102588,False
103578,False
103794,True
105815,True
106967,False
107699,True
109106,False
110214,False
111083,True
111901,True
113482,False
114371,False
115669,False
116616,False
117992,False
118913,False
120075,False
121305,False
122454,False
123327,False
124732,False
126053,True
126850,False
128510,False
129131,True
130316,False
130934,False
132177,False
133833,False
134841,True
135481,False
136514,True
138238,False
139859,True
140387,False
141862,False
142689,False
144160,False
145366,False
145826,False
147064,False
147874,True
149509,True
150294,False
151714,False
152726,False
153781,False
154864,False
156767,False
157331,True
158863,False
160052,False
161244,True
161420,False
163338,False
164678,False
165227,True
166692,False
167378,False
168402,False
169783,False
171358,False
171534,False
172602,True
174411,False
174858,True
176872,True
177217,True
178861,False
179725,True
180964,False
182033,False
183015,False
183971,False
185221,True
186372,False
187787,True
188662,True
189928,True
191244,False
192840,False
193594,False
194861,True
196143,False
197338,False
197954,False
198757,True
200070,False
201084,False
202121,False
203396,False
204274,True
205802,False
207155,False
208091,True
209602,True
209850,False
211672,False
212343,True
213634,False
214346,True
215763,False
217001,True
217974,True
218850,True
220138,False
221468,False
223078,True
223763,False
225304,False
226706,False
227737,True
228059,True
229736,True
230381,False
232103,False
232783,False
234228,True
235739,True
235986,True
237401,False
238029,True
240216,True
240640,False
242298,True
242966,True
244242,False
245598,False
245925,True
247363,False
248542,False
249527,False
250533,False
252301,True
253536,False
254568,False
255243,True
256241,False
257290,True
258627,True
259442,True
261574,True
262664,False
263618,False
264702,False
265812,True
266437,True
267468,False
268639,False
270298,True
271584,True
272916,True
273826,False
274333,True
275305,False
276957,False
278075,True
279345,True
280686,False
281246,False
282534,False
284063,True
284988,True
286007,False
287260,False
