movieId,title,genres,imdbId,tmdbId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0
5,Father of the Bride Part II (1995),Comedy,113041,11862.0
6,Heat (1995),Action|Crime|Thriller,113277,949.0
7,Sabrina (1995),Comedy|Romance,114319,11860.0
8,Tom and Huck (1995),Adventure|Children,112302,45325.0
9,Sudden Death (1995),Action,114576,9091.0
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0
13,Balto (1995),Adventure|Animation|Children,112453,21032.0
14,Nixon (1995),Drama,113987,10858.0
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0
16,Casino (1995),Crime|Drama,112641,524.0
17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0
18,Four Rooms (1995),Comedy,113101,5.0
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0
23,Assassins (1995),Action|Crime|Thriller,112401,9691.0
24,Powder (1995),Drama|Sci-Fi,114168,12665.0
25,Leaving Las Vegas (1995),Drama|Romance,113627,451.0
26,Othello (1995),Drama,114057,16420.0
27,Now and Then (1995),Children|Drama,114011,9263.0
28,Persuasion (1995),Drama|Romance,114117,17015.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557.0
31,Dangerous Minds (1995),Drama,112792,9909.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0
33,Wings of Courage (1995),Adventure|Romance|IMAX,114952,78802.0
34,Babe (1995),Children|Drama,112431,9598.0
35,Carrington (1995),Drama|Romance,112637,47018.0
36,Dead Man Walking (1995),Crime|Drama,112818,687.0
37,Across the Sea of Time (1995),Documentary|IMAX,112286,139405.0
38,It Takes Two (1995),Children|Comedy,113442,33689.0
39,Clueless (1995),Comedy|Romance,112697,9603.0
40,"Cry, the Beloved Country (1995)",Drama,112749,34615.0
41,Richard III (1995),Drama|War,114279,31174.0
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443.0
43,Restoration (1995),Drama,114272,35196.0
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312.0
45,To Die For (1995),Comedy|Drama|Thriller,114681,577.0
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861.0
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807.0
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530.0
49,When Night Is Falling (1995),Drama|Romance,114916,8391.0
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0
51,Guardian Angel (1994),Action|Drama|Thriller,109950,117164.0
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448.0
53,Lamerica (1994),Adventure|Drama,110299,49133.0
54,"Big Green, The (1995)",Children|Comedy,112499,26441.0
55,Georgia (1995),Drama,113158,97406.0
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,113541,124057.0
57,Home for the Holidays (1995),Drama,113321,9089.0
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010.0
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,112714,99040.0
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359.0
61,Eye for an Eye (1996),Drama|Thriller,116260,17182.0
62,Mr. Holland's Opus (1995),Drama,113862,2054.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607.0
64,Two if by Sea (1996),Comedy|Romance,118002,19760.0
65,Bio-Dome (1996),Comedy,115683,9536.0
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525.0
67,Two Bits (1995),Drama,114753,40628.0
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482.0
69,Friday (1995),Comedy,113118,10634.0
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755.0
71,Fair Game (1995),Action,113010,11859.0
72,Kicking and Screaming (1995),Comedy|Drama,113537,28387.0
73,"Misérables, Les (1995)",Drama|War,113828,48750.0
74,Bed of Roses (1996),Drama|Romance,115644,20927.0
75,Big Bully (1996),Comedy|Drama,115676,36929.0
76,Screamers (1995),Action|Sci-Fi|Thriller,114367,9102.0
77,Nico Icon (1995),Documentary,113973,124626.0
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526.0
79,"Juror, The (1996)",Drama|Thriller,116731,9623.0
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785.0
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400.0
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880.0
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599.0
84,Last Summer in the Hamptons (1995),Comedy|Drama,113612,188588.0
85,Angels and Insects (1995),Drama|Romance,112365,8447.0
86,White Squall (1996),Action|Adventure|Drama,118158,10534.0
87,Dunston Checks In (1996),Children|Comedy,116151,17414.0
88,Black Sheep (1996),Comedy,115697,13997.0
89,Nick of Time (1995),Action|Thriller,113972,2086.0
90,The Journey of August King (1995),Drama,113490,61548.0
92,Mary Reilly (1996),Drama|Horror|Thriller,117002,9095.0
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825,12158.0
94,Beautiful Girls (1996),Comedy|Drama|Romance,115639,9283.0
95,Broken Arrow (1996),Action|Adventure|Thriller,115759,9208.0
96,In the Bleak Midwinter (1995),Comedy|Drama,113403,40154.0
97,"Hate (Haine, La) (1995)",Crime|Drama,113247,406.0
98,Shopping (1994),Action|Thriller,111173,45549.0
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,113283,63076.0
100,City Hall (1996),Drama|Thriller,115907,11062.0
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685.0
102,Mr. Wrong (1996),Comedy,117102,47475.0
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,118040,2045.0
104,Happy Gilmore (1996),Comedy,116483,9614.0
105,"Bridges of Madison County, The (1995)",Drama|Romance,112579,688.0
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,110251,11907.0
